日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-11,000789,万年青,9.88,10.0,9.88,10.0,9.93,-0.05,-0.5035,10081486
2019-09-10,000789,万年青,9.93,10.06,9.85,9.94,9.97,-0.04,-0.4012,12758843
2019-09-09,000789,万年青,9.97,10.03,9.86,9.96,9.86,0.11,1.1156,17967821
2019-09-06,000789,万年青,9.86,9.92,9.72,9.89,9.8,0.06,0.6122,16285388
2019-09-05,000789,万年青,9.8,10.13,9.78,10.0,9.91,-0.11,-1.11,29671715
2019-09-04,000789,万年青,9.91,9.94,9.67,9.67,9.73,0.18,1.8499,30065841
2019-09-03,000789,万年青,9.73,9.83,9.43,9.46,9.39,0.34,3.6209,28653606
2019-09-02,000789,万年青,9.39,9.44,8.96,8.97,8.97,0.42,4.6823,18214744
2019-08-30,000789,万年青,8.97,9.24,8.95,9.23,9.15,-0.18,-1.9672,10702489
2019-08-29,000789,万年青,9.15,9.24,9.14,9.22,9.18,-0.03,-0.3268,7159488
2019-08-28,000789,万年青,9.18,9.27,9.11,9.27,9.28,-0.1,-1.0776,9766033
2019-08-27,000789,万年青,9.28,9.33,9.2,9.25,9.21,0.07,0.76,13921413
2019-08-26,000789,万年青,9.21,9.3,8.95,8.97,9.19,0.02,0.2176,13431454
2019-08-23,000789,万年青,9.19,9.33,9.16,9.23,9.19,0.0,0.0,12592823
2019-08-22,000789,万年青,9.19,9.28,9.11,9.26,9.16,0.03,0.3275,10395405
2019-08-21,000789,万年青,9.16,9.25,8.98,9.0,9.01,0.15,1.6648,16703991
2019-08-20,000789,万年青,9.01,9.19,8.85,8.89,8.9,0.11,1.236,17824683
2019-08-19,000789,万年青,8.9,8.94,8.6,8.65,8.59,0.31,3.6088,12939597
2019-08-16,000789,万年青,8.59,8.65,8.48,8.49,8.52,0.07,0.8216,8702429
2019-08-15,000789,万年青,8.52,8.57,8.2,8.32,8.47,0.05,0.5903,8159242
2019-08-14,000789,万年青,8.47,8.6,8.44,8.55,8.44,0.03,0.3555,5844426
2019-08-13,000789,万年青,8.44,8.49,8.4,8.48,8.57,-0.13,-1.5169,5194312
2019-08-12,000789,万年青,8.57,8.57,8.4,8.51,8.49,0.08,0.9423,6772325
2019-08-09,000789,万年青,8.49,8.79,8.46,8.77,8.71,-0.22,-2.5258,8638293
2019-08-08,000789,万年青,8.71,8.88,8.71,8.75,8.74,-0.03,-0.3432,7006678
2019-08-07,000789,万年青,8.74,8.94,8.73,8.85,8.82,-0.08,-0.907,7428026
2019-08-06,000789,万年青,8.82,9.02,8.39,8.72,8.96,-0.14,-1.5625,18116013
2019-08-05,000789,万年青,8.96,9.3,8.94,9.18,9.21,-0.25,-2.7144,10967673
2019-08-02,000789,万年青,9.21,9.33,9.1,9.18,9.38,-0.17,-1.8124,8574342
2019-08-01,000789,万年青,9.38,9.45,9.12,9.3,9.33,0.05,0.5359,10462833
2019-07-31,000789,万年青,9.33,9.52,9.3,9.52,9.56,-0.23,-2.4059,10878622
2019-07-30,000789,万年青,9.56,9.65,9.5,9.53,9.55,0.01,0.1047,8118825
2019-07-29,000789,万年青,9.55,9.66,9.46,9.57,9.6,-0.05,-0.5208,8180282
2019-07-26,000789,万年青,9.6,9.62,9.23,9.28,9.32,0.28,3.0043,15046262
2019-07-25,000789,万年青,9.32,9.36,9.25,9.36,9.36,-0.04,-0.4274,7439943
2019-07-24,000789,万年青,9.36,9.44,9.32,9.32,9.29,0.07,0.7535,8329783
2019-07-23,000789,万年青,9.29,9.34,9.21,9.23,9.27,0.02,0.2157,8648260
2019-07-22,000789,万年青,9.27,9.64,9.26,9.59,9.58,-0.31,-3.2359,9959465
2019-07-19,000789,万年青,9.58,9.71,9.53,9.53,9.52,0.06,0.6303,8796865
2019-07-18,000789,万年青,9.52,9.74,9.51,9.74,9.78,-0.26,-2.6585,10786176
2019-07-17,000789,万年青,9.78,9.86,9.73,9.81,9.84,-0.06,-0.6098,8720188
2019-07-16,000789,万年青,9.84,9.92,9.81,9.87,9.9,-0.06,-0.6061,9197279
2019-07-15,000789,万年青,9.9,9.91,9.53,9.67,9.69,0.21,2.1672,14599338
2019-07-12,000789,万年青,9.69,9.76,9.62,9.64,9.65,0.04,0.4145,9644520
2019-07-11,000789,万年青,9.65,9.8,9.54,9.65,9.61,0.04,0.4162,13686751
2019-07-10,000789,万年青,9.61,9.97,9.42,9.93,9.8,-0.19,-1.9388,22407753
2019-07-09,000789,万年青,9.8,9.97,9.73,9.88,9.86,-0.06,-0.6085,14658542
2019-07-08,000789,万年青,9.86,10.47,9.81,10.4,10.35,-0.49,-4.7343,25949829
2019-07-05,000789,万年青,10.35,10.44,10.12,10.3,10.41,-0.06,-0.5764,19176036
2019-07-04,000789,万年青,10.41,10.67,10.32,10.47,10.48,-0.07,-0.6679,25363178
2019-07-03,000789,万年青,10.48,10.65,10.3,10.35,10.46,0.02,0.1912,25309701
2019-07-02,000789,万年青,10.46,10.55,10.13,10.16,10.25,0.21,2.0488,37522893
2019-07-01,000789,万年青,10.25,10.33,9.94,10.16,10.02,0.23,2.2954,35618881
2019-06-28,000789,万年青,10.02,10.27,9.77,9.81,9.78,0.24,2.454,37399877
2019-06-27,000789,万年青,9.78,9.82,9.71,9.72,9.7,0.08,0.8247,11404561
2019-06-26,000789,万年青,9.7,9.82,9.63,9.63,9.74,-0.04,-0.4107,8536745
2019-06-25,000789,万年青,9.74,9.88,9.56,9.88,9.88,-0.14,-1.417,15100883
2019-06-24,000789,万年青,9.88,9.95,9.81,9.85,9.89,-0.01,-0.1011,12404942
2019-06-21,000789,万年青,9.89,9.96,9.78,9.91,9.92,-0.03,-0.3024,21704840
2019-06-20,000789,万年青,9.92,9.96,9.46,9.58,9.55,0.37,3.8743,26395138
2019-06-19,000789,万年青,9.55,9.74,9.55,9.69,9.47,0.08,0.8448,14274670
2019-06-18,000789,万年青,9.47,9.75,9.4,9.7,9.58,-0.11,-1.1482,12303636
2019-06-17,000789,万年青,9.58,9.7,9.51,9.56,9.61,-0.03,-0.3122,11497008
2019-06-14,000789,万年青,9.61,9.94,9.56,9.92,9.92,-0.31,-3.125,22401203
