日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-09-10,300541,先进数通,20.51,22.5,20.09,22.49,22.35,-1.84,-8.2327,15383311
2020-09-09,300541,先进数通,22.35,23.77,21.76,23.6,24.29,-1.94,-7.9868,21133123
2020-09-08,300541,先进数通,24.29,24.68,22.31,22.71,22.7,1.59,7.0044,23481383
2020-09-07,300541,先进数通,22.7,23.5,22.37,22.6,22.21,0.49,2.2062,19671360
2020-09-04,300541,先进数通,22.21,22.65,21.17,21.5,22.23,-0.02,-0.09,10277055
2020-09-03,300541,先进数通,22.23,23.2,21.99,23.19,23.49,-1.26,-5.364,15622121
2020-09-02,300541,先进数通,23.49,23.51,21.75,22.05,22.03,1.46,6.6273,20615415
2020-09-01,300541,先进数通,22.03,23.34,21.47,22.83,22.37,-0.34,-1.5199,18015147
2020-08-31,300541,先进数通,22.37,24.7,22.34,23.6,22.92,-0.55,-2.3997,25290713
2020-08-28,300541,先进数通,22.92,23.05,21.37,21.96,22.21,0.71,3.1968,23502610
2020-08-27,300541,先进数通,22.21,23.15,19.9,20.88,21.07,1.14,5.4105,24904902
2020-08-26,300541,先进数通,21.07,21.89,20.55,20.7,20.97,0.1,0.4769,22710327
2020-08-25,300541,先进数通,20.97,21.39,19.82,19.99,19.63,1.34,6.8263,21688343
2020-08-24,300541,先进数通,19.63,19.97,18.65,19.32,19.38,0.25,1.29,9899830
2020-08-21,300541,先进数通,19.38,19.8,18.92,19.5,19.24,0.14,0.7277,8223292
2020-08-20,300541,先进数通,19.24,20.3,19.19,19.48,19.58,-0.34,-1.7365,10176539
2020-08-19,300541,先进数通,19.58,20.7,19.55,20.41,20.46,-0.88,-4.3011,9583006
2020-08-18,300541,先进数通,20.46,20.99,20.17,20.33,20.56,-0.1,-0.4864,16237608
2020-08-17,300541,先进数通,20.56,20.8,18.98,18.99,18.91,1.65,8.7255,20309223
2020-08-14,300541,先进数通,18.91,18.93,18.27,18.27,18.41,0.5,2.7159,5345923
2020-08-13,300541,先进数通,18.41,18.91,18.27,18.9,18.7,-0.29,-1.5508,4336456
2020-08-12,300541,先进数通,18.7,19.4,18.31,18.88,19.1,-0.4,-2.0942,6379093
2020-08-11,300541,先进数通,19.1,20.17,19.0,19.9,19.65,-0.55,-2.799,7885384
2020-08-10,300541,先进数通,19.65,20.48,19.0,19.1,19.31,0.34,1.7607,9270716
2020-08-07,300541,先进数通,19.31,20.19,18.9,20.19,20.33,-1.02,-5.0172,11930113
2020-08-06,300541,先进数通,20.33,20.55,19.45,19.48,19.62,0.71,3.6188,14868255
2020-08-05,300541,先进数通,19.62,20.07,19.28,19.9,19.59,0.03,0.1531,9358337
2020-08-04,300541,先进数通,19.59,20.1,19.2,19.39,18.95,0.64,3.3773,14564011
2020-08-03,300541,先进数通,18.95,18.97,18.26,18.45,18.37,0.58,3.1573,8819986
2020-07-31,300541,先进数通,18.37,18.4,17.7,17.71,17.83,0.54,3.0286,6792528
2020-07-30,300541,先进数通,17.83,18.08,17.72,18.06,18.08,-0.25,-1.3827,5298534
2020-07-29,300541,先进数通,18.08,18.18,17.35,17.5,17.7,0.38,2.1469,6172536
2020-07-28,300541,先进数通,17.7,17.78,17.12,17.28,17.12,0.58,3.3879,6167298
2020-07-27,300541,先进数通,17.12,17.44,16.86,17.3,17.11,0.01,0.0584,5319896
2020-07-24,300541,先进数通,17.11,18.73,17.01,18.4,18.53,-1.42,-7.6632,10039006
2020-07-23,300541,先进数通,18.53,19.15,18.09,18.75,19.21,-0.68,-3.5398,8779722
2020-07-22,300541,先进数通,19.21,19.57,18.95,19.11,18.85,0.36,1.9098,10384903
2020-07-21,300541,先进数通,18.85,19.41,18.61,19.16,18.66,0.19,1.0182,8904748
2020-07-20,300541,先进数通,18.66,18.71,18.0,18.43,18.15,0.51,2.8099,7943368
2020-07-17,300541,先进数通,18.15,19.28,17.9,18.9,18.87,-0.72,-3.8156,9563182
2020-07-16,300541,先进数通,18.87,20.57,18.75,20.09,19.73,-0.86,-4.3588,10920323
2020-07-15,300541,先进数通,19.73,21.28,19.7,21.11,21.53,-1.8,-8.3604,14260043
2020-07-14,300541,先进数通,21.53,21.99,20.7,21.05,21.01,0.52,2.475,16907562
2020-07-13,300541,先进数通,21.01,21.34,20.7,20.76,20.55,0.46,2.2384,12785180
2020-07-10,300541,先进数通,20.55,21.26,20.48,20.92,21.27,-0.72,-3.385,15812659
2020-07-09,300541,先进数通,21.27,21.77,19.45,19.6,19.79,1.48,7.4785,22273400
2020-07-08,300541,先进数通,19.79,20.38,18.95,19.81,18.72,1.07,5.7158,18931036
2020-07-07,300541,先进数通,18.72,19.36,18.46,18.81,18.77,-0.05,-0.2664,14640612
2020-07-06,300541,先进数通,18.77,19.07,18.0,18.2,18.17,0.6,3.3021,12314935
2020-07-03,300541,先进数通,18.17,18.33,17.52,17.83,17.81,0.36,2.0213,9757836
2020-07-02,300541,先进数通,17.81,17.88,17.46,17.5,17.71,0.1,0.5647,7502880
2020-07-01,300541,先进数通,17.71,18.08,17.32,18.0,17.81,-0.1,-0.5615,7767436
2020-06-30,300541,先进数通,17.81,17.84,17.16,17.34,17.15,0.66,3.8484,8667693
2020-06-29,300541,先进数通,17.15,17.45,16.88,17.39,17.49,-0.34,-1.944,6024447
2020-06-24,300541,先进数通,17.49,17.85,17.25,17.85,17.71,-0.22,-1.2422,7196919
2020-06-23,300541,先进数通,17.71,18.04,17.44,17.75,17.8,-0.09,-0.5056,6928171
2020-06-22,300541,先进数通,17.8,18.05,17.42,17.83,17.86,-0.06,-0.3359,10628413
2020-06-19,300541,先进数通,17.86,17.95,17.38,17.86,18.29,-0.43,-2.351,18450579
2020-06-18,300541,先进数通,18.29,18.72,17.02,17.02,17.02,1.27,7.4618,25068466
2020-06-17,300541,先进数通,17.02,17.88,16.7,17.41,17.43,-0.41,-2.3523,16439949
2020-06-16,300541,先进数通,17.43,18.21,17.36,17.86,16.55,0.88,5.3172,20452603
2020-06-15,300541,先进数通,16.55,17.12,15.9,15.96,15.96,0.59,3.6967,8968055
2020-06-12,300541,先进数通,15.96,16.11,15.69,15.9,16.33,-0.37,-2.2658,4790477
2020-06-11,300541,先进数通,16.33,16.47,15.97,16.28,16.28,0.05,0.3071,5591913
2020-06-10,300541,先进数通,16.28,16.62,16.13,16.5,16.53,-0.25,-1.5124,6332554
2020-06-09,300541,先进数通,16.53,17.1,15.49,15.58,15.59,0.94,6.0295,10294564
2020-06-08,300541,先进数通,15.59,15.89,15.5,15.52,15.56,0.03,0.1928,3694536
2020-06-05,300541,先进数通,15.56,15.75,15.33,15.57,15.56,0.0,0.0,3697020
2020-06-04,300541,先进数通,15.56,15.75,15.39,15.73,16.18,-0.62,-3.8319,8353488
2020-06-03,300541,先进数通,16.18,16.91,16.1,16.27,16.16,0.02,0.1238,5521351
