日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-11,002628,成都路桥,4.88,4.99,4.87,4.94,4.92,-0.04,-0.813,10751581
2019-09-10,002628,成都路桥,4.92,4.95,4.88,4.92,4.92,0.0,0.0,9751581
2019-09-09,002628,成都路桥,4.92,4.93,4.8,4.89,4.84,0.08,1.6529,12745003
2019-09-06,002628,成都路桥,4.84,4.87,4.78,4.83,4.84,0.0,0.0,13769792
2019-09-05,002628,成都路桥,4.84,5.04,4.82,5.0,4.88,-0.04,-0.8197,22534000
2019-09-04,002628,成都路桥,4.88,4.95,4.75,4.8,4.79,0.09,1.8789,26242854
2019-09-03,002628,成都路桥,4.79,4.82,4.64,4.68,4.64,0.15,3.2328,14622764
2019-09-02,002628,成都路桥,4.64,4.65,4.53,4.53,4.53,0.11,2.4283,8845300
2019-08-30,002628,成都路桥,4.53,4.68,4.52,4.67,4.64,-0.11,-2.3707,8702364
2019-08-29,002628,成都路桥,4.64,4.68,4.62,4.68,4.68,-0.04,-0.8547,5137800
2019-08-28,002628,成都路桥,4.68,4.71,4.65,4.69,4.69,-0.01,-0.2132,6289537
2019-08-27,002628,成都路桥,4.69,4.72,4.63,4.63,4.61,0.08,1.7354,8243137
2019-08-26,002628,成都路桥,4.61,4.63,4.54,4.54,4.7,-0.09,-1.9149,7533161
2019-08-23,002628,成都路桥,4.7,4.78,4.69,4.77,4.76,-0.06,-1.2605,7797160
2019-08-22,002628,成都路桥,4.76,4.79,4.71,4.77,4.74,0.02,0.4219,9469602
2019-08-21,002628,成都路桥,4.74,4.78,4.71,4.75,4.77,-0.03,-0.6289,6426058
2019-08-20,002628,成都路桥,4.77,4.8,4.73,4.75,4.74,0.03,0.6329,11536576
2019-08-19,002628,成都路桥,4.74,4.76,4.67,4.67,4.71,0.03,0.6369,16049123
2019-08-16,002628,成都路桥,4.71,4.88,4.64,4.65,4.67,0.04,0.8565,14085726
2019-08-15,002628,成都路桥,4.67,4.8,4.43,4.5,4.64,0.03,0.6466,10239714
2019-08-14,002628,成都路桥,4.64,4.71,4.63,4.71,4.65,-0.01,-0.2151,4602479
2019-08-13,002628,成都路桥,4.65,4.7,4.64,4.67,4.7,-0.05,-1.0638,3783700
2019-08-12,002628,成都路桥,4.7,4.73,4.63,4.65,4.65,0.05,1.0753,3855700
2019-08-09,002628,成都路桥,4.65,4.74,4.63,4.71,4.67,-0.02,-0.4283,4938100
2019-08-08,002628,成都路桥,4.67,4.73,4.63,4.69,4.7,-0.03,-0.6383,5537036
2019-08-07,002628,成都路桥,4.7,4.77,4.68,4.73,4.69,0.01,0.2132,6542100
2019-08-06,002628,成都路桥,4.69,4.9,4.52,4.73,4.93,-0.24,-4.8682,12505800
2019-08-05,002628,成都路桥,4.93,5.0,4.9,4.95,4.98,-0.05,-1.004,4991600
2019-08-02,002628,成都路桥,4.98,5.01,4.93,4.97,5.07,-0.09,-1.7751,5983718
2019-08-01,002628,成都路桥,5.07,5.09,4.97,5.0,5.03,0.04,0.7952,8484201
2019-07-31,002628,成都路桥,5.03,5.1,5.03,5.09,5.12,-0.09,-1.7578,5395400
2019-07-30,002628,成都路桥,5.12,5.16,5.11,5.12,5.15,-0.03,-0.5825,8260040
2019-07-29,002628,成都路桥,5.15,5.3,5.11,5.3,5.25,-0.1,-1.9048,12899604
2019-07-26,002628,成都路桥,5.25,5.25,4.98,5.01,5.01,0.24,4.7904,13485904
2019-07-25,002628,成都路桥,5.01,5.03,4.98,5.03,5.02,-0.01,-0.1992,4880500
2019-07-24,002628,成都路桥,5.02,5.06,4.97,5.0,4.97,0.05,1.006,6061900
2019-07-23,002628,成都路桥,4.97,5.0,4.9,4.92,4.92,0.05,1.0163,4842345
2019-07-22,002628,成都路桥,4.92,5.04,4.9,5.03,5.03,-0.11,-2.1869,7235244
2019-07-19,002628,成都路桥,5.03,5.08,5.01,5.04,5.02,0.01,0.1992,4773500
2019-07-18,002628,成都路桥,5.02,5.1,5.01,5.07,5.12,-0.1,-1.9531,7542001
2019-07-17,002628,成都路桥,5.12,5.15,5.08,5.13,5.14,-0.02,-0.3891,6798601
2019-07-16,002628,成都路桥,5.14,5.24,5.11,5.15,5.06,0.08,1.581,10912990
2019-07-15,002628,成都路桥,5.06,5.07,4.93,5.03,5.02,0.04,0.7968,8393216
2019-07-12,002628,成都路桥,5.02,5.05,5.0,5.03,5.01,0.01,0.1996,4690900
2019-07-11,002628,成都路桥,5.01,5.06,4.99,5.02,5.0,0.01,0.2,5481500
2019-07-10,002628,成都路桥,5.0,5.06,4.98,5.05,5.05,-0.05,-0.9901,6237500
2019-07-09,002628,成都路桥,5.05,5.1,5.0,5.06,5.06,-0.01,-0.1976,6498000
2019-07-08,002628,成都路桥,5.06,5.27,5.02,5.27,5.29,-0.23,-4.3478,13144300
2019-07-05,002628,成都路桥,5.29,5.33,5.24,5.3,5.31,-0.02,-0.3766,9457726
2019-07-04,002628,成都路桥,5.31,5.4,5.28,5.31,5.3,0.01,0.1887,14802900
2019-07-03,002628,成都路桥,5.3,5.32,5.25,5.28,5.28,0.02,0.3788,8726800
2019-07-02,002628,成都路桥,5.28,5.34,5.27,5.32,5.34,-0.06,-1.1236,9791000
2019-07-01,002628,成都路桥,5.34,5.37,5.3,5.34,5.26,0.08,1.5209,16274450
2019-06-28,002628,成都路桥,5.26,5.3,5.2,5.25,5.24,0.02,0.3817,9907341
2019-06-27,002628,成都路桥,5.24,5.3,5.22,5.23,5.22,0.02,0.3831,8892200
2019-06-26,002628,成都路桥,5.22,5.3,5.21,5.26,5.29,-0.07,-1.3233,7887300
2019-06-25,002628,成都路桥,5.29,5.35,5.24,5.32,5.36,-0.07,-1.306,11653800
2019-06-24,002628,成都路桥,5.36,5.37,5.26,5.33,5.35,0.01,0.1869,15447460
2019-06-21,002628,成都路桥,5.35,5.37,5.29,5.33,5.32,0.03,0.5639,21526387
2019-06-20,002628,成都路桥,5.32,5.35,5.22,5.33,5.35,-0.03,-0.5607,20567007
2019-06-19,002628,成都路桥,5.35,5.47,5.33,5.33,5.34,0.01,0.1873,24760467
2019-06-18,002628,成都路桥,5.34,5.48,5.3,5.48,5.25,0.09,1.7143,28990218
2019-06-17,002628,成都路桥,5.25,5.49,5.1,5.17,5.2,0.05,0.9615,18443973
2019-06-14,002628,成都路桥,5.2,5.39,5.17,5.37,5.43,-0.23,-4.2357,24407740
2019-06-13,002628,成都路桥,5.43,5.54,5.16,5.25,5.25,0.18,3.4286,39724229
2019-06-12,002628,成都路桥,5.25,5.36,5.16,5.2,5.22,0.03,0.5747,27754482
2019-06-11,002628,成都路桥,5.22,5.26,5.06,5.1,4.96,0.26,5.2419,27123934
2019-06-10,002628,成都路桥,4.96,5.0,4.88,4.95,4.92,0.04,0.813,7746600
2019-06-06,002628,成都路桥,4.92,5.03,4.92,4.97,5.02,-0.1,-1.992,8504600
2019-06-05,002628,成都路桥,5.02,5.06,5.01,5.06,5.02,0.0,0.0,9607404
2019-06-04,002628,成都路桥,5.02,5.07,4.95,5.07,5.1,-0.08,-1.5686,12413299
2019-06-03,002628,成都路桥,5.1,5.13,4.96,5.05,5.06,0.04,0.7905,16503970
