日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-11,600624,复旦复华,9.98,10.35,9.55,9.69,9.61,0.37,3.8502,55093258
2019-09-10,600624,复旦复华,9.61,9.76,9.54,9.76,9.74,-0.13,-1.3347,27358306
2019-09-09,600624,复旦复华,9.74,9.79,9.4,9.58,9.37,0.37,3.9488,35905093
2019-09-06,600624,复旦复华,9.37,9.54,9.25,9.45,9.42,-0.05,-0.5308,27891717
2019-09-05,600624,复旦复华,9.42,9.88,9.2,9.28,9.15,0.27,2.9508,51474958
2019-09-04,600624,复旦复华,9.15,9.3,9.0,9.07,9.1,0.05,0.5495,28154254
2019-09-03,600624,复旦复华,9.1,9.15,9.01,9.02,9.05,0.05,0.5525,20149062
2019-09-02,600624,复旦复华,9.05,9.12,8.62,8.79,8.8,0.25,2.8409,22458030
2019-08-30,600624,复旦复华,8.8,9.2,8.73,9.18,9.03,-0.23,-2.5471,24081038
2019-08-29,600624,复旦复华,9.03,9.21,9.0,9.15,9.14,-0.11,-1.2035,22182565
2019-08-28,600624,复旦复华,9.14,9.17,8.82,9.06,9.05,0.09,0.9945,25584455
2019-08-27,600624,复旦复华,9.05,9.14,8.88,8.96,8.87,0.18,2.0293,25106995
2019-08-26,600624,复旦复华,8.87,8.88,8.53,8.74,8.99,-0.12,-1.3348,20276209
2019-08-23,600624,XD复旦复,8.99,9.26,8.91,9.05,9.11,-0.12,-1.3172,23335442
2019-08-22,600624,复旦复华,9.13,9.39,9.03,9.33,9.32,-0.19,-2.0386,33480486
2019-08-21,600624,复旦复华,9.32,9.48,8.58,8.65,8.67,0.65,7.4971,59008291
2019-08-20,600624,复旦复华,8.67,8.85,8.63,8.81,8.75,-0.08,-0.9143,24246319
2019-08-19,600624,复旦复华,8.75,8.78,8.52,8.65,8.52,0.23,2.6995,26192878
2019-08-16,600624,复旦复华,8.52,8.59,8.42,8.5,8.58,-0.06,-0.6993,20877851
2019-08-15,600624,复旦复华,8.58,8.64,8.02,8.2,8.38,0.2,2.3866,27981602
2019-08-14,600624,复旦复华,8.38,8.55,8.36,8.43,8.31,0.07,0.8424,15361942
2019-08-13,600624,复旦复华,8.31,8.46,8.21,8.4,8.49,-0.18,-2.1201,11580770
2019-08-12,600624,复旦复华,8.49,8.52,8.37,8.39,8.36,0.13,1.555,11272595
2019-08-09,600624,复旦复华,8.36,8.65,8.36,8.53,8.47,-0.11,-1.2987,14727193
2019-08-08,600624,复旦复华,8.47,8.66,8.45,8.48,8.44,0.03,0.3555,16725503
2019-08-07,600624,复旦复华,8.44,8.62,8.39,8.49,8.35,0.09,1.0778,20745122
2019-08-06,600624,复旦复华,8.35,8.65,8.07,8.63,8.75,-0.4,-4.5714,26720171
2019-08-05,600624,复旦复华,8.75,8.93,8.66,8.74,8.75,0.0,0.0,15968983
2019-08-02,600624,复旦复华,8.75,8.96,8.51,8.88,9.13,-0.38,-4.1621,28636568
2019-08-01,600624,复旦复华,9.13,9.21,8.7,9.0,9.25,-0.12,-1.2973,20564244
2019-07-31,600624,复旦复华,9.25,9.58,9.19,9.58,9.6,-0.35,-3.6458,25867429
2019-07-30,600624,复旦复华,9.6,9.76,9.55,9.55,9.54,0.06,0.6289,15523106
2019-07-29,600624,复旦复华,9.54,9.73,9.52,9.7,9.66,-0.12,-1.2422,13434751
2019-07-26,600624,复旦复华,9.66,9.8,9.6,9.8,9.8,-0.14,-1.4286,15785865
2019-07-25,600624,复旦复华,9.8,9.92,9.68,9.87,9.87,-0.07,-0.7092,15562959
2019-07-24,600624,复旦复华,9.87,10.04,9.78,9.85,9.83,0.04,0.4069,15352850
2019-07-23,600624,复旦复华,9.83,9.94,9.62,9.62,9.94,-0.11,-1.1066,20179287
2019-07-22,600624,复旦复华,9.94,10.78,9.78,10.75,10.69,-0.75,-7.0159,29553178
2019-07-19,600624,复旦复华,10.69,10.91,10.61,10.69,10.69,0.0,0.0,18642555
2019-07-18,600624,复旦复华,10.69,10.92,10.66,10.92,11.14,-0.45,-4.0395,23541275
2019-07-17,600624,复旦复华,11.14,11.5,10.58,10.7,10.68,0.46,4.3071,40970179
2019-07-16,600624,复旦复华,10.68,10.75,10.61,10.65,10.65,0.03,0.2817,12070358
