日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-11,300085,银之杰,18.21,19.93,17.5,18.75,18.68,-0.47,-2.5161,86640460
2019-09-10,300085,银之杰,18.68,18.68,16.56,16.7,16.98,1.7,10.0118,69862178
2019-09-09,300085,银之杰,16.98,17.41,16.2,16.9,16.55,0.43,2.5982,64115921
2019-09-06,300085,银之杰,16.55,17.53,16.33,17.0,15.94,0.61,3.8269,79848919
2019-09-05,300085,银之杰,15.94,15.94,15.8,15.9,14.49,1.45,10.0069,15054155
2019-09-04,300085,银之杰,14.49,14.49,13.9,14.0,14.15,0.34,2.4028,34208376
2019-09-03,300085,银之杰,14.15,14.26,13.73,14.12,14.25,-0.1,-0.7018,30088134
2019-09-02,300085,银之杰,14.25,14.45,13.5,13.5,13.59,0.66,4.8565,32502532
2019-08-30,300085,银之杰,13.59,15.22,13.5,14.51,14.08,-0.49,-3.4801,41263788
2019-08-29,300085,银之杰,14.08,14.66,13.81,13.9,13.79,0.29,2.103,35284650
2019-08-28,300085,银之杰,13.79,14.2,13.73,14.13,14.62,-0.83,-5.6772,38747645
2019-08-27,300085,银之杰,14.62,15.3,13.79,14.0,13.91,0.71,5.1042,58910564
2019-08-26,300085,银之杰,13.91,14.62,13.5,13.7,14.65,-0.74,-5.0512,54047341
2019-08-23,300085,银之杰,14.65,16.37,14.53,15.98,14.88,-0.23,-1.5457,85810045
2019-08-22,300085,银之杰,14.88,14.88,13.21,13.21,13.53,1.35,9.9778,58460722
2019-08-21,300085,银之杰,13.53,14.31,12.55,12.64,13.11,0.42,3.2037,60601111
2019-08-20,300085,银之杰,13.11,13.11,13.11,13.11,11.92,1.19,9.9832,6595025
2019-08-19,300085,银之杰,11.92,11.92,11.24,11.78,10.84,1.08,9.9631,21592025
2019-08-16,300085,银之杰,10.84,11.1,10.69,10.71,10.78,0.06,0.5566,10290840
2019-08-15,300085,银之杰,10.78,10.85,10.12,10.12,10.57,0.21,1.9868,12197174
2019-08-14,300085,银之杰,10.57,10.86,10.56,10.75,10.57,0.0,0.0,7762678
2019-08-13,300085,银之杰,10.57,10.73,10.47,10.6,10.76,-0.19,-1.7658,6913897
2019-08-12,300085,银之杰,10.76,10.76,10.45,10.6,10.51,0.25,2.3787,8202439
2019-08-09,300085,银之杰,10.51,10.96,10.38,10.77,10.64,-0.13,-1.2218,10977010
2019-08-08,300085,银之杰,10.64,10.79,10.55,10.7,10.5,0.14,1.3333,6858177
2019-08-07,300085,银之杰,10.5,11.0,10.43,10.88,10.79,-0.29,-2.6877,7893126
2019-08-06,300085,银之杰,10.79,10.8,10.39,10.66,10.97,-0.18,-1.6408,11564964
