日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-30,603799,华友钴业,26.91,28.77,26.65,28.77,28.85,-1.94,-6.7244,37134734
2019-09-27,603799,华友钴业,28.85,29.57,28.34,28.99,28.94,-0.09,-0.311,47473749
2019-09-26,603799,华友钴业,28.94,29.35,27.82,28.55,28.73,0.21,0.7309,56391385
2019-09-25,603799,华友钴业,28.73,29.7,27.38,27.43,27.74,0.99,3.5689,67579612
2019-09-24,603799,华友钴业,27.74,27.8,26.82,26.9,26.72,1.02,3.8174,37404867
2019-09-23,603799,华友钴业,26.72,27.25,26.5,26.69,26.97,-0.25,-0.927,19745399
2019-09-20,603799,华友钴业,26.97,27.36,26.47,27.0,27.13,-0.16,-0.5898,19826957
2019-09-19,603799,华友钴业,27.13,27.3,26.42,26.79,26.77,0.36,1.3448,21935242
2019-09-18,603799,华友钴业,26.77,27.45,26.2,27.16,27.11,-0.34,-1.2541,25760583
2019-09-17,603799,华友钴业,27.11,28.04,27.1,27.8,27.76,-0.65,-2.3415,26984645
2019-09-16,603799,华友钴业,27.76,28.12,27.26,27.96,27.68,0.08,0.289,25468267
2019-09-12,603799,华友钴业,27.68,28.7,27.54,28.46,27.96,-0.28,-1.0014,28621516
2019-09-11,603799,华友钴业,27.96,28.3,27.25,27.65,27.46,0.5,1.8208,40759099
2019-09-10,603799,华友钴业,27.46,28.77,26.91,27.08,26.65,0.81,3.0394,53763287
2019-09-09,603799,华友钴业,26.65,26.74,25.8,26.0,25.8,0.85,3.2946,34108973
2019-09-06,603799,华友钴业,25.8,26.35,25.71,26.28,26.16,-0.36,-1.3761,21891322
2019-09-05,603799,华友钴业,26.16,26.39,25.8,26.08,25.94,0.22,0.8481,31607659
2019-09-04,603799,华友钴业,25.94,26.5,25.7,26.01,26.35,-0.41,-1.556,25040014
2019-09-03,603799,华友钴业,26.35,26.45,25.3,25.7,25.4,0.95,3.7402,39940630
2019-09-02,603799,华友钴业,25.4,26.14,25.21,25.95,25.08,0.32,1.2759,26931347
2019-08-30,603799,华友钴业,25.08,25.43,24.35,24.55,24.51,0.57,2.3256,29786459
2019-08-29,603799,华友钴业,24.51,24.85,24.37,24.49,24.48,0.03,0.1225,12953233
2019-08-28,603799,华友钴业,24.48,24.99,24.36,24.57,24.59,-0.11,-0.4473,15291038
2019-08-27,603799,华友钴业,24.59,24.84,24.23,24.46,24.31,0.28,1.1518,21775815
2019-08-26,603799,华友钴业,24.31,24.7,24.08,24.69,25.26,-0.95,-3.7609,26621100
2019-08-23,603799,华友钴业,25.26,26.31,25.26,26.05,25.95,-0.69,-2.659,24035921
2019-08-22,603799,华友钴业,25.95,26.16,25.23,26.15,26.1,-0.15,-0.5747,31155486
2019-08-21,603799,华友钴业,26.1,26.88,26.0,26.65,26.79,-0.69,-2.5756,24422940
2019-08-20,603799,华友钴业,26.79,27.47,25.53,25.9,26.03,0.76,2.9197,50269045
2019-08-19,603799,华友钴业,26.03,26.1,25.09,25.83,25.81,0.22,0.8524,39977833
2019-08-16,603799,华友钴业,25.81,26.8,25.8,26.4,26.53,-0.72,-2.7139,35617870
2019-08-15,603799,华友钴业,26.53,27.25,26.0,26.1,26.9,-0.37,-1.3755,44316519
2019-08-14,603799,华友钴业,26.9,27.58,25.3,25.99,25.66,1.24,4.8324,68331363
2019-08-13,603799,华友钴业,25.66,26.6,25.6,25.75,25.89,-0.23,-0.8884,43864790
2019-08-12,603799,华友钴业,25.89,26.72,25.1,26.72,26.75,-0.86,-3.215,54849048
2019-08-09,603799,华友钴业,26.75,27.83,26.38,26.72,27.05,-0.3,-1.1091,66980747
2019-08-08,603799,华友钴业,27.05,28.77,26.9,28.77,26.15,0.9,3.4417,132580884
2019-08-07,603799,华友钴业,26.15,26.15,26.15,26.15,23.77,2.38,10.0126,12341989
2019-08-06,603799,华友钴业,23.77,24.16,23.02,23.05,23.62,0.15,0.6351,45858256
2019-08-05,603799,华友钴业,23.62,24.74,23.48,24.3,24.36,-0.74,-3.0378,44706616
2019-08-02,603799,华友钴业,24.36,24.88,23.86,24.07,24.62,-0.26,-1.0561,52528402
2019-08-01,603799,华友钴业,24.62,25.43,22.96,23.0,23.38,1.24,5.3037,77174220
2019-07-31,603799,华友钴业,23.38,23.86,22.04,22.33,22.3,1.08,4.843,53540200
2019-07-30,603799,华友钴业,22.3,22.7,21.91,21.95,21.88,0.42,1.9196,30680929
2019-07-29,603799,华友钴业,21.88,22.3,21.05,21.3,21.4,0.48,2.243,29168438
2019-07-26,603799,华友钴业,21.4,21.64,20.45,20.51,20.55,0.85,4.1363,29621448
2019-07-25,603799,华友钴业,20.55,20.73,20.34,20.6,20.7,-0.15,-0.7246,10719029
2019-07-24,603799,华友钴业,20.7,20.94,20.52,20.52,20.48,0.22,1.0742,11060452
2019-07-23,603799,华友钴业,20.48,20.58,20.24,20.28,20.31,0.17,0.837,8409013
2019-07-22,603799,华友钴业,20.31,21.39,20.21,21.35,21.31,-1.0,-4.6926,18160179
