日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-16,000795,英洛华,7.16,7.24,7.12,7.18,7.18,-0.02,-0.2786,41340533
2019-09-12,000795,英洛华,7.18,7.29,7.15,7.25,7.32,-0.14,-1.9126,72343664
2019-09-11,000795,英洛华,7.32,7.48,6.91,7.04,7.03,0.29,4.1252,123379275
2019-09-10,000795,英洛华,7.03,7.07,6.84,6.89,6.88,0.15,2.1802,77968823
2019-09-09,000795,英洛华,6.88,6.89,6.75,6.83,6.77,0.11,1.6248,49684806
2019-09-06,000795,英洛华,6.77,6.91,6.75,6.91,6.92,-0.15,-2.1676,48762000
2019-09-05,000795,英洛华,6.92,6.97,6.75,6.8,6.83,0.09,1.3177,69787366
2019-09-04,000795,英洛华,6.83,6.93,6.76,6.88,6.86,-0.03,-0.4373,44255338
2019-09-03,000795,英洛华,6.86,7.01,6.84,6.88,6.86,0.0,0.0,50794837
2019-09-02,000795,英洛华,6.86,6.94,6.7,6.75,6.9,-0.04,-0.5797,59023580
2019-08-30,000795,英洛华,6.9,7.14,6.51,6.59,6.65,0.25,3.7594,98356443
2019-08-29,000795,英洛华,6.65,6.7,6.55,6.59,6.59,0.06,0.9105,36085839
2019-08-28,000795,英洛华,6.59,6.73,6.58,6.68,6.73,-0.14,-2.0802,40599300
2019-08-27,000795,英洛华,6.73,6.81,6.51,6.68,6.76,-0.03,-0.4438,63613111
2019-08-26,000795,英洛华,6.76,7.15,6.75,7.05,6.76,0.0,0.0,84574215
2019-08-23,000795,英洛华,6.76,6.97,6.61,6.63,6.62,0.14,2.1148,84213510
2019-08-22,000795,英洛华,6.62,6.8,6.56,6.75,6.7,-0.08,-1.194,42088149
2019-08-21,000795,英洛华,6.7,6.83,6.67,6.72,6.84,-0.14,-2.0468,49407710
2019-08-20,000795,英洛华,6.84,6.88,6.51,6.54,6.6,0.24,3.6364,79701970
2019-08-19,000795,英洛华,6.6,6.63,6.32,6.4,6.54,0.06,0.9174,65189862
2019-08-16,000795,英洛华,6.54,6.57,6.26,6.28,6.17,0.37,5.9968,82765842
2019-08-15,000795,英洛华,6.17,6.28,6.07,6.12,6.21,-0.04,-0.6441,34844725
2019-08-14,000795,英洛华,6.21,6.3,6.1,6.15,6.32,-0.11,-1.7405,43360645
2019-08-13,000795,英洛华,6.32,6.47,6.21,6.31,6.37,-0.05,-0.7849,46039803
2019-08-12,000795,英洛华,6.37,6.67,6.12,6.65,6.67,-0.3,-4.4978,68095874
2019-08-09,000795,英洛华,6.67,6.95,6.66,6.76,6.78,-0.11,-1.6224,58842304
2019-08-08,000795,英洛华,6.78,7.02,6.72,6.98,7.12,-0.34,-4.7753,80454801
2019-08-07,000795,英洛华,7.12,7.36,6.61,6.75,6.82,0.3,4.3988,121116329
2019-08-06,000795,英洛华,6.82,7.07,6.55,6.69,6.87,-0.05,-0.7278,111073448
2019-08-05,000795,英洛华,6.87,7.05,6.51,6.66,6.72,0.15,2.2321,111742686
2019-08-02,000795,英洛华,6.72,6.83,6.41,6.77,6.21,0.51,8.2126,122518297
2019-08-01,000795,英洛华,6.21,6.31,6.14,6.2,6.19,0.02,0.3231,42023031
