日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2019-09-12,000723,美锦能源,11.66,11.96,11.45,11.69,12.09,-0.43,-3.5567,224343283
2019-09-11,000723,美锦能源,12.09,12.09,11.02,11.06,10.99,1.1,10.0091,309060090
2019-09-10,000723,美锦能源,10.99,11.43,10.75,11.0,10.93,0.06,0.5489,190251388
2019-09-09,000723,美锦能源,10.93,11.2,10.22,10.46,10.29,0.64,6.2196,198447555
2019-09-06,000723,美锦能源,10.29,10.53,10.12,10.34,10.32,-0.03,-0.2907,120155576
2019-09-05,000723,美锦能源,10.32,10.68,9.96,10.01,10.09,0.23,2.2795,206174657
2019-09-04,000723,美锦能源,10.09,10.27,9.38,9.44,9.51,0.58,6.0988,170537632
2019-09-03,000723,美锦能源,9.51,9.58,9.33,9.45,9.47,0.04,0.4224,84497829
2019-09-02,000723,美锦能源,9.47,9.5,9.13,9.2,9.25,0.22,2.3784,73797234
2019-08-30,000723,美锦能源,9.25,9.83,9.12,9.77,9.78,-0.53,-5.4192,119807828
2019-08-29,000723,美锦能源,9.78,10.03,9.64,9.91,9.96,-0.18,-1.8072,107868775
2019-08-28,000723,美锦能源,9.96,10.25,9.85,10.04,10.04,-0.08,-0.7968,131776081
2019-08-27,000723,美锦能源,10.04,10.38,9.55,9.69,9.56,0.48,5.0209,202745627
2019-08-26,000723,美锦能源,9.56,9.76,9.05,9.1,9.43,0.13,1.3786,139046902
2019-08-23,000723,美锦能源,9.43,9.54,9.02,9.22,9.26,0.17,1.8359,134710583
2019-08-22,000723,美锦能源,9.26,9.32,8.93,9.06,9.0,0.26,2.8889,96396447
2019-08-21,000723,美锦能源,9.0,9.18,8.97,9.07,9.2,-0.2,-2.1739,69742517
2019-08-20,000723,美锦能源,9.2,9.48,9.17,9.24,9.2,0.0,0.0,109770255
2019-08-19,000723,美锦能源,9.2,9.27,8.83,8.95,8.92,0.28,3.139,113212186
2019-08-16,000723,美锦能源,8.92,9.21,8.72,8.76,8.82,0.1,1.1338,108225699
2019-08-15,000723,美锦能源,8.82,8.87,8.35,8.45,8.79,0.03,0.3413,86478246
2019-08-14,000723,美锦能源,8.79,9.02,8.77,8.89,8.72,0.07,0.8028,89515922
2019-08-13,000723,美锦能源,8.72,8.83,8.63,8.75,8.9,-0.18,-2.0225,51468459
2019-08-12,000723,美锦能源,8.9,8.9,8.56,8.68,8.67,0.23,2.6528,65470329
2019-08-09,000723,美锦能源,8.67,9.04,8.63,8.87,8.74,-0.07,-0.8009,68494391
2019-08-08,000723,美锦能源,8.74,8.92,8.67,8.7,8.63,0.11,1.2746,67735110
2019-08-07,000723,美锦能源,8.63,8.86,8.6,8.8,8.69,-0.06,-0.6904,60444516
2019-08-06,000723,美锦能源,8.69,8.92,8.44,8.9,9.19,-0.5,-5.4407,106235766
2019-08-05,000723,美锦能源,9.19,9.38,9.11,9.27,9.4,-0.21,-2.234,79292623
2019-08-02,000723,美锦能源,9.4,9.75,9.18,9.61,10.03,-0.63,-6.2812,145022020
2019-08-01,000723,美锦能源,10.03,10.24,9.86,10.07,10.15,-0.12,-1.1823,110940598
2019-07-31,000723,美锦能源,10.15,10.47,9.91,10.0,10.02,0.13,1.2974,168170599
2019-07-30,000723,美锦能源,10.02,10.4,9.52,9.6,9.45,0.57,6.0317,209172600
2019-07-29,000723,美锦能源,9.45,9.64,9.31,9.5,9.49,-0.04,-0.4215,57877720
2019-07-26,000723,美锦能源,9.49,9.75,9.48,9.53,9.56,-0.07,-0.7322,75917570
2019-07-25,000723,美锦能源,9.56,9.65,9.45,9.54,9.59,-0.03,-0.3128,67713167
2019-07-24,000723,美锦能源,9.59,9.78,9.13,9.23,9.18,0.41,4.4662,139426884
2019-07-23,000723,美锦能源,9.18,9.22,8.9,9.04,9.04,0.14,1.5487,67505611
2019-07-22,000723,美锦能源,9.04,9.49,9.0,9.38,9.38,-0.34,-3.6247,78989371
2019-07-19,000723,美锦能源,9.38,9.84,9.32,9.45,9.19,0.19,2.0675,118909561
2019-07-18,000723,美锦能源,9.19,9.49,9.14,9.49,9.66,-0.47,-4.8654,87183099
2019-07-17,000723,美锦能源,9.66,9.82,9.6,9.75,9.67,-0.01,-0.1034,58007249
2019-07-16,000723,美锦能源,9.67,9.8,9.52,9.56,9.62,0.05,0.5198,67461308
2019-07-15,000723,美锦能源,9.62,9.71,9.28,9.51,9.51,0.11,1.1567,68946060
2019-07-12,000723,美锦能源,9.51,9.58,9.28,9.33,9.43,0.08,0.8484,54362190
2019-07-11,000723,美锦能源,9.43,9.73,9.31,9.58,9.49,-0.06,-0.6322,66841819
2019-07-10,000723,美锦能源,9.49,9.67,9.22,9.52,9.57,-0.08,-0.8359,77373946
2019-07-09,000723,美锦能源,9.57,9.77,9.38,9.38,9.38,0.19,2.0256,87409352
2019-07-08,000723,美锦能源,9.38,10.23,9.26,10.23,10.29,-0.91,-8.8435,134511140
2019-07-05,000723,美锦能源,10.29,10.45,10.19,10.4,10.45,-0.16,-1.5311,66473204
2019-07-04,000723,美锦能源,10.45,10.56,10.27,10.5,10.61,-0.16,-1.508,77014652
2019-07-03,000723,美锦能源,10.61,10.87,10.41,10.73,10.91,-0.3,-2.7498,116150537
2019-07-02,000723,美锦能源,10.91,11.15,10.65,10.83,11.5,-0.59,-5.1304,215327840
2019-07-01,000723,美锦能源,11.5,11.5,10.65,10.99,10.45,1.05,10.0478,207572804
2019-06-28,000723,美锦能源,10.45,10.7,10.21,10.67,10.65,-0.2,-1.8779,93036859
