日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-07-01,002517,恺英网络,3.78,3.78,3.48,3.49,3.44,0.34,9.8837,77101976
2020-06-30,002517,恺英网络,3.44,3.59,3.41,3.51,3.5,-0.06,-1.7143,73670794
2020-06-29,002517,恺英网络,3.5,3.79,3.5,3.76,3.89,-0.39,-10.0257,131191015
2020-06-24,002517,恺英网络,3.89,3.95,3.63,3.67,3.67,0.22,5.9946,105296413
2020-06-23,002517,恺英网络,3.67,3.73,3.56,3.58,3.6,0.07,1.9444,59823103
2020-06-22,002517,恺英网络,3.6,3.71,3.59,3.66,3.66,-0.06,-1.6393,51329003
2020-06-19,002517,恺英网络,3.66,3.73,3.5,3.5,3.59,0.07,1.9499,73421854
2020-06-18,002517,恺英网络,3.59,3.88,3.55,3.63,3.68,-0.09,-2.4457,120697379
2020-06-17,002517,恺英网络,3.68,3.68,3.33,3.4,3.42,0.26,7.6023,91085039
2020-06-16,002517,恺英网络,3.42,3.55,3.37,3.51,3.47,-0.05,-1.4409,52648150
2020-06-15,002517,恺英网络,3.47,3.65,3.41,3.44,3.41,0.06,1.7595,83179042
2020-06-12,002517,恺英网络,3.41,3.45,3.21,3.23,3.32,0.09,2.7108,57213050
2020-06-11,002517,恺英网络,3.32,3.55,3.31,3.37,3.38,-0.06,-1.7751,76831544
2020-06-10,002517,恺英网络,3.38,3.43,3.35,3.43,3.42,-0.04,-1.1696,25394235
2020-06-09,002517,恺英网络,3.42,3.48,3.31,3.37,3.39,0.03,0.885,40956044
2020-06-08,002517,恺英网络,3.39,3.48,3.37,3.47,3.45,-0.06,-1.7391,37603643
2020-06-05,002517,恺英网络,3.45,3.5,3.37,3.43,3.43,0.02,0.5831,45160774
2020-06-04,002517,恺英网络,3.43,3.54,3.39,3.45,3.43,0.0,0.0,55439112
2020-06-03,002517,恺英网络,3.43,3.59,3.38,3.45,3.38,0.05,1.4793,98133048
2020-06-02,002517,恺英网络,3.38,3.52,3.33,3.34,3.37,0.01,0.2967,82925728
2020-06-01,002517,恺英网络,3.37,3.4,3.15,3.21,3.18,0.19,5.9748,87399867
2020-05-29,002517,恺英网络,3.18,3.26,2.95,2.96,2.96,0.22,7.4324,82135368
2020-05-28,002517,恺英网络,2.96,3.0,2.91,3.0,2.99,-0.03,-1.0033,29928639
2020-05-27,002517,恺英网络,2.99,3.06,2.98,3.05,3.06,-0.07,-2.2876,24981300
2020-05-26,002517,恺英网络,3.06,3.08,2.96,3.05,3.03,0.03,0.9901,43217185
2020-05-25,002517,恺英网络,3.03,3.09,2.99,3.02,3.11,-0.08,-2.5723,35699141
2020-05-22,002517,恺英网络,3.11,3.13,2.97,3.08,3.04,0.07,2.3026,50850260
2020-05-21,002517,恺英网络,3.04,3.27,3.01,3.25,3.14,-0.1,-3.1847,58658750
2020-05-20,002517,恺英网络,3.14,3.18,3.04,3.1,3.08,0.06,1.9481,62132342
2020-05-19,002517,恺英网络,3.08,3.12,3.03,3.1,3.05,0.03,0.9836,40827647
2020-05-18,002517,恺英网络,3.05,3.16,3.03,3.07,2.93,0.12,4.0956,90013170
2020-05-15,002517,恺英网络,2.93,3.03,2.91,3.01,2.97,-0.04,-1.3468,33071726
2020-05-14,002517,恺英网络,2.97,3.05,2.96,2.99,3.02,-0.05,-1.6556,37343649
2020-05-13,002517,恺英网络,3.02,3.12,2.97,3.0,3.01,0.01,0.3322,62084821
2020-05-12,002517,恺英网络,3.01,3.04,2.93,2.98,2.96,0.05,1.6892,57153781
2020-05-11,002517,恺英网络,2.96,3.0,2.85,2.92,2.89,0.07,2.4221,60914429
2020-05-08,002517,恺英网络,2.89,2.96,2.81,2.84,2.79,0.1,3.5842,63519244
2020-05-07,002517,恺英网络,2.79,2.84,2.7,2.73,2.72,0.07,2.5735,51322625
2020-05-06,002517,恺英网络,2.72,2.73,2.52,2.53,2.56,0.16,6.25,46137616
2020-04-30,002517,恺英网络,2.56,2.57,2.51,2.52,2.51,0.05,1.992,19809461
2020-04-29,002517,恺英网络,2.51,2.55,2.4,2.43,2.42,0.09,3.719,27800206
2020-04-28,002517,恺英网络,2.42,2.53,2.35,2.5,2.51,-0.09,-3.5857,36669943
2020-04-27,002517,恺英网络,2.51,2.67,2.47,2.63,2.66,-0.15,-5.6391,47994545
2020-04-24,002517,恺英网络,2.66,2.72,2.64,2.7,2.74,-0.08,-2.9197,30892352
2020-04-23,002517,恺英网络,2.74,2.79,2.63,2.7,2.7,0.04,1.4815,49519544
2020-04-22,002517,恺英网络,2.7,2.73,2.68,2.72,2.72,-0.02,-0.7353,22752502
2020-04-21,002517,恺英网络,2.72,2.77,2.69,2.77,2.8,-0.08,-2.8571,35709244
2020-04-20,002517,恺英网络,2.8,2.82,2.78,2.81,2.8,0.0,0.0,19092800
2020-04-17,002517,恺英网络,2.8,2.86,2.79,2.86,2.85,-0.05,-1.7544,23785065
2020-04-16,002517,恺英网络,2.85,2.9,2.76,2.79,2.81,0.04,1.4235,30371420
2020-04-15,002517,恺英网络,2.81,2.85,2.8,2.85,2.86,-0.05,-1.7483,26802000
2020-04-14,002517,恺英网络,2.86,2.86,2.82,2.86,2.84,0.02,0.7042,27939235
2020-04-13,002517,恺英网络,2.84,2.88,2.8,2.86,2.88,-0.04,-1.3889,15618791
2020-04-10,002517,恺英网络,2.88,3.01,2.87,3.0,3.0,-0.12,-4.0,34993650
2020-04-09,002517,恺英网络,3.0,3.03,2.93,2.94,2.94,0.06,2.0408,50833824
2020-04-08,002517,恺英网络,2.94,2.95,2.88,2.88,2.9,0.04,1.3793,35202210
2020-04-07,002517,恺英网络,2.9,2.92,2.86,2.86,2.82,0.08,2.8369,36311050
